他們人咧？	以 5 人組隊，使用3 名或以上 帶有潛行能力的英雄贏得對戰	18	阿卡莉,埃可尚,伊芙琳,凱莎,卡力斯,勒布朗,妮可,夜曲,派克,姬亞娜,雷葛爾,姍娜,薩科,塔隆,提摩,圖奇,汎,維爾戈
百鬼夜行	以 5 人組隊，全部使用來自闇影島的英雄贏得對戰	12	伊莉絲,伊芙琳,費德提克,關,赫克林,克黎思妲,卡爾瑟斯,茂凱,姍娜,瑟雷西,維爾戈,約瑞科
元素神通	以 5 人組隊，全部使用來自伊克斯塔爾的英雄贏得對戰	6	墨菲特,妮可,奈德麗,姬亞娜,雷葛爾,枷蘿
日不落	以 5 人組隊，全部使用來自蘇瑞瑪的英雄贏得對戰	11	埃可尚,阿姆姆,阿祈爾,納瑟斯,拉姆斯,雷尼克頓,希維爾,史加納,塔莉雅,齊勒斯,極靈
路障流	以 5 人組隊，使用 3 名或以上帶有創造地形能力的英雄贏得對戰	10	艾妮維亞,阿祈爾,伊瑞莉雅,埃爾文,嘉文四世,鄂爾,塔莉雅,特朗德,維迦,約瑞科
愛歐尼亞代言人	以 5 人組隊，全部使用來自愛歐尼亞的英雄贏得對戰	21	阿璃,阿卡莉,伊瑞莉雅,埃爾文,燼,卡瑪,慨影,凱能,李星,莉莉亞,易大師,悟空,銳空,賽特,慎,星朵拉,法洛士,剎雅,犽宿,犽凝,劫
小心有陷阱！	以 5 人組隊，使用 3 名或以上帶有陷阱能力的英雄贏得對戰	10	凱特琳,剛普朗克,燼,吉茵珂絲,茂凱,奈德麗,薩科,提摩,希格斯,枷蘿
（人外的尖叫聲）	以 5 人組隊，全部使用來自虛空的英雄贏得對戰	9	貝爾薇斯,科加斯,凱莎,卡薩丁,卡力斯,寇格魔,馬爾札哈,雷珂煞,威寇茲
無敵的吧！	以 5 人組隊，使用 3 名或以上帶有復活能力的英雄贏得對戰	38	埃可尚,亞歷斯塔,艾妮維亞,巴德,貝爾薇斯,布郎姆,艾克,伊莉絲,伊芙琳,菲歐拉,飛斯,關,賈克斯,克黎思妲,卡爾瑟斯,凱爾,慨影,鏡爪,克雷德,寇格魔,麗珊卓,馬爾札哈,茂凱,易大師,歐拉夫,潘森,銳空,睿娜妲．格萊斯克,賽恩,貪啃奇,塔里克,泰達米爾,弗拉迪米爾,趙信,悠咪,札克,劫,極靈
你過來一下	以 5 人組隊，使用 3 名或以上帶有強制位移技能的英雄贏得對戰	34	亞歷斯塔,翱銳龍獸,阿祈爾,布里茨,達瑞斯,吶兒,古拉格斯,赫克林,珍娜,杰西,克雷德,李星,茂凱,魔鬥凱薩,納帝魯斯,淣菈,奧莉安娜,波比,派克,銳兒,賽特,辛吉德,史加納,斯溫,貪啃奇,塔莉雅,瑟雷西,崔絲塔娜,烏爾加特,汎,趙信,犽凝,札克,希格斯
一直丟一直爽	以 5 人組隊，使用 3 名或以上帶有遠程騷擾能力的英雄贏得對戰	35	埃可尚,艾希,阿祈爾,凱特琳,科加斯,庫奇,蒙多醫生,伊澤瑞爾,剛普朗克,杰西,燼,吉茵珂絲,凱莎,卡瑪,克雷德,寇格魔,拉克絲,茂凱,奈德麗,潘森,姍娜,瑟菈紛,希瓦娜,希維爾,塔莉雅,逆命,法洛士,威寇茲,薇可絲,維克特,剎雅,齊勒斯,悠咪,希格斯,柔依
大好大滿	以 5 人組隊，使用 3 名或以上帶有大範圍大絕的英雄贏得對戰	72	阿姆姆,安妮,翱銳龍獸,阿祈爾,巴德,貝爾薇斯,布里茨,布郎姆,卡莎碧雅,庫奇,黛安娜,達瑞文,艾克,伊澤瑞爾,費德提克,飛斯,加里歐,剛普朗克,吶兒,古拉格斯,葛雷夫,赫克林,漢默丁格,伊羅旖,珍娜,嘉文四世,吉茵珂絲,卡爾瑟斯,卡特蓮娜,凱爾,凱能,雷歐娜,麗珊卓,拉克絲,墨菲特,茂凱,好運姐,魔甘娜,娜米,妮可,淣菈,努努和威朗普,奧莉安娜,鄂爾,潘森,姬亞娜,銳空,拉姆斯,銳兒,睿娜妲．格萊斯克,雷玟,藍寶,煞蜜拉,史瓦妮,姍娜,瑟菈紛,賽特,索娜,斯溫,塔隆,圖奇,威寇茲,維克特,弗拉迪米爾,弗力貝爾,剎雅,趙信,犽凝,悠咪,札克,希格斯,枷蘿
通通不准動	以 5 人組隊，使用 3 名或以上帶有 2 個或以上定身技能的英雄贏得對戰	52	厄薩斯,亞歷斯塔,阿姆姆,艾妮維亞,翱銳龍獸,巴德,布里茨,布郎姆,卡蜜兒,加里歐,吶兒,古拉格斯,赫克林,埃爾文,珍娜,嘉文四世,克雷德,勒布朗,雷歐娜,麗珊卓,露璐,茂凱,魔甘娜,娜米,納帝魯斯,妮可,努努和威朗普,鄂爾,波比,派克,姬亞娜,拉姆斯,銳兒,睿娜妲．格萊斯克,雷玟,史瓦妮,瑟菈紛,賽特,薩科,辛吉德,賽恩,史加納,貪啃奇,瑟雷西,烏爾加特,菲艾,沃維克,趙信,犽宿,犽凝,札克,枷蘿
mage		62	阿璃,阿姆姆,艾妮維亞,安妮,翱銳龍獸,阿祈爾,巴德,布蘭德,卡莎碧雅,科加斯,黛安娜,伊莉絲,伊芙琳,伊澤瑞爾,費德提克,加里歐,古拉格斯,漢默丁格,埃爾文,珍娜,燼,卡瑪,卡爾瑟斯,卡薩丁,卡特蓮娜,凱能,寇格魔,勒布朗,莉莉亞,麗珊卓,露璐,拉克絲,馬爾札哈,茂凱,魔甘娜,娜米,妮可,奈德麗,奧莉安娜,睿娜妲．格萊斯克,藍寶,雷茲,瑟菈紛,索娜,索拉卡,斯溫,賽勒斯,星朵拉,塔莉雅,逆命,法洛士,維迦,威寇茲,薇可絲,維克特,弗拉迪米爾,齊勒斯,悠咪,希格斯,極靈,柔依,枷蘿
fighter		68	厄薩斯,貝爾薇斯,布里茨,卡蜜兒,達瑞斯,黛安娜,蒙多醫生,艾克,伊莉絲,菲歐拉,飛斯,剛普朗克,蓋倫,吶兒,古拉格斯,關,赫克林,伊羅旖,伊瑞莉雅,嘉文四世,賈克斯,杰西,凱爾,慨影,克雷德,李星,莉莉亞,墨菲特,易大師,悟空,魔鬥凱薩,納瑟斯,夜曲,努努和威朗普,歐拉夫,鄂爾,潘森,波比,姬亞娜,拉姆斯,雷珂煞,雷尼克頓,雷葛爾,雷玟,藍寶,雷茲,史瓦妮,賽特,希瓦娜,辛吉德,賽恩,史加納,斯溫,塔里克,瑟雷西,特朗德,泰達米爾,烏迪爾,烏爾加特,菲艾,維爾戈,弗力貝爾,沃維克,趙信,犽宿,犽凝,約瑞科,札克
tank		44	厄薩斯,亞歷斯塔,阿姆姆,布里茨,布郎姆,卡蜜兒,科加斯,達瑞斯,蒙多醫生,加里歐,蓋倫,吶兒,赫克林,伊羅旖,嘉文四世,克雷德,雷歐娜,墨菲特,茂凱,悟空,納瑟斯,納帝魯斯,努努和威朗普,歐拉夫,鄂爾,波比,拉姆斯,銳兒,雷尼克頓,史瓦妮,賽特,慎,希瓦娜,辛吉德,賽恩,史加納,貪啃奇,特朗德,烏迪爾,烏爾加特,弗力貝爾,沃維克,約瑞科,札克
assassin		40	阿璃,阿卡莉,埃可尚,艾克,伊芙琳,菲歐拉,飛斯,關,伊瑞莉雅,賈克斯,卡薩丁,卡特蓮娜,慨影,卡力斯,勒布朗,李星,馬爾札哈,易大師,奈德麗,夜曲,潘森,派克,姬亞娜,葵恩,雷葛爾,雷玟,薩科,賽勒斯,塔隆,提摩,崔絲塔娜,泰達米爾,圖奇,汎,菲艾,維爾戈,趙信,犽宿,犽凝,劫
support		35	亞歷斯塔,艾妮維亞,艾希,巴德,布郎姆,費德提克,漢默丁格,埃爾文,珍娜,卡瑪,凱爾,雷歐娜,露璐,拉克絲,魔甘娜,娜米,納帝魯斯,妮可,奧莉安娜,派克,銳空,銳兒,睿娜妲．格萊斯克,姍娜,瑟菈紛,索娜,索拉卡,貪啃奇,塔莉雅,塔里克,瑟雷西,悠咪,極靈,柔依,枷蘿
marksman		30	埃可尚,亞菲利歐,艾希,阿祈爾,凱特琳,庫奇,達瑞文,伊澤瑞爾,葛雷夫,杰西,燼,吉茵珂絲,凱莎,克黎思妲,凱能,鏡爪,寇格魔,路西恩,好運姐,葵恩,煞蜜拉,姍娜,希維爾,提摩,崔絲塔娜,圖奇,法洛士,汎,剎雅,婕莉
